gene,geneid,pm_ld_aging,pm_pleio3_aging,pm_pleio5_aging,pm_pleio10_aging,pn_ld_aging,pn_pleio3_aging,pn_pleio5_aging,pn_pleio10_aging
OR5AK2,390181,3.26962902850995,Low pleiotropy,1st,1,0.578048894077464,Low pleiotropy,1st,1
OR5AN1,390195,3.05694071756544,Low pleiotropy,1st,1,0.664409376063903,Low pleiotropy,1st,1
OR5AP2,338675,3.53112360037643,Low pleiotropy,1st,2,2.01329416423564,Intermediate pleiotropy,3rd,5
OR5AR1,219493,3.16044807312443,Low pleiotropy,1st,1,2.01519736249518,Intermediate pleiotropy,3rd,5
OR5AS1,219447,3.28523680441382,Low pleiotropy,1st,1,2.31869684992049,Intermediate pleiotropy,3rd,5
OR5AU1,390445,3.95266910634569,Intermediate pleiotropy,2nd,4,2.4887527614418,Intermediate pleiotropy,4th,8
OR5B12,390191,3.6349113470603,Low pleiotropy,1st,2,2.25326440102993,Intermediate pleiotropy,3rd,5
OR5B17,219965,4.42451089205992,Intermediate pleiotropy,4th,7,2.22710261403875,Intermediate pleiotropy,3rd,5
OR5B2,390190,3.14245022034295,Low pleiotropy,1st,1,1.4206605389999,Low pleiotropy,1st,2
OR5B21,219968,3.56267996471816,Low pleiotropy,1st,2,1.5108309386863,Low pleiotropy,1st,2
OR5B3,441608,4.25121114680333,Intermediate pleiotropy,3rd,6,3.05379793457105,High pleiotropy,5th,9
OR5C1,392391,3.31258929738764,Low pleiotropy,1st,1,1.55551707136438,Low pleiotropy,1st,2
OR5F1,338674,2.34076834372848,Low pleiotropy,1st,1,0.647366379193189,Low pleiotropy,1st,1
OR5H1,26341,3.74977178847805,Intermediate pleiotropy,2nd,3,1.17016197140811,Low pleiotropy,1st,2
OR5H14,403273,3.82726817563995,Intermediate pleiotropy,2nd,3,1.35202098659881,Low pleiotropy,1st,2
OR5H15,403274,3.40385782539471,Low pleiotropy,1st,1,1.16286667151158,Low pleiotropy,1st,2
OR5H2,79310,3.14317421584984,Low pleiotropy,1st,1,0.682502963957865,Low pleiotropy,1st,1
OR5H6,79295,3.62063501981314,Low pleiotropy,1st,2,1.42122158048498,Low pleiotropy,1st,2
OR5J2,282775,2.395898953573,Low pleiotropy,1st,1,0.0937662176142639,Low pleiotropy,1st,1
OR5K1,26339,3.94364722471245,Intermediate pleiotropy,2nd,4,1.62317362743961,Intermediate pleiotropy,2nd,3
OR5K2,402135,3.85745780013942,Intermediate pleiotropy,2nd,3,0.799646195962207,Low pleiotropy,1st,1
OR5K3,403277,3.56746854540369,Low pleiotropy,1st,2,1.56099309447873,Low pleiotropy,1st,2
OR5K4,403278,2.82894112699414,Low pleiotropy,1st,1,0.654990804103532,Low pleiotropy,1st,1
OR5M1,390168,2.99469113694967,Low pleiotropy,1st,1,0.944395109908725,Low pleiotropy,1st,2
OR5M10,390167,3.17583373042351,Low pleiotropy,1st,1,0.340492426768688,Low pleiotropy,1st,1
OR5M11,219487,3.21983149793114,Low pleiotropy,1st,1,2.00715909343535,Intermediate pleiotropy,3rd,5
OR5M3,219482,3.16509653519756,Low pleiotropy,1st,1,1.24849826905819,Low pleiotropy,1st,2
OR5M8,219484,3.64716188863754,Low pleiotropy,1st,2,1.98115047781197,Intermediate pleiotropy,3rd,5
OR5M9,390162,3.16509653519756,Low pleiotropy,1st,1,1.24849826905819,Low pleiotropy,1st,2
OR5P2,120065,2.85350738132631,Low pleiotropy,1st,1,0.741586031481219,Low pleiotropy,1st,1
OR5P3,120066,3.30181156321492,Low pleiotropy,1st,1,1.45997921830708,Low pleiotropy,1st,2
OR5R1,219479,3.04046096746592,Low pleiotropy,1st,1,1.9480331848781,Intermediate pleiotropy,3rd,5
OR5T1,390155,3.42394468962484,Low pleiotropy,1st,1,0.684350997050469,Low pleiotropy,1st,1
OR5T2,219464,2.40604081394347,Low pleiotropy,1st,1,0.145630277493246,Low pleiotropy,1st,1
OR5T3,390154,2.49230692844313,Low pleiotropy,1st,1,0.32122921996283,Low pleiotropy,1st,1
OR6A2,8590,4.23094700634877,Intermediate pleiotropy,3rd,5,3.26125710840437,High pleiotropy,5th,9
OR6B1,135946,3.09860385778656,Low pleiotropy,1st,1,0.681527009993749,Low pleiotropy,1st,1
OR6B2,389090,3.92173227633155,Intermediate pleiotropy,2nd,4,2.46103519937013,Intermediate pleiotropy,4th,7
OR6B3,150681,4.72110335424711,Intermediate pleiotropy,4th,8,0.814685746316025,Low pleiotropy,1st,2
OR6C1,390321,3.88813149106338,Intermediate pleiotropy,2nd,3,1.56886645490121,Low pleiotropy,1st,2
OR6C2,341416,4.01394761268759,Intermediate pleiotropy,2nd,4,1.56901023645335,Low pleiotropy,1st,2
OR6C3,254786,3.94562635868365,Intermediate pleiotropy,2nd,4,1.51957931255466,Low pleiotropy,1st,2
OR6C4,341418,3.25365961030563,Low pleiotropy,1st,1,0.694888130800139,Low pleiotropy,1st,1
