gene,geneid,pm_ld_aging,pm_pleio3_aging,pm_pleio5_aging,pm_pleio10_aging,pn_ld_aging,pn_pleio3_aging,pn_pleio5_aging,pn_pleio10_aging
OXNAD1,92106,4.20211429580707,Intermediate pleiotropy,3rd,5,1.65498867031553,Intermediate pleiotropy,3rd,5
OXR1,55074,4.36796839899738,Intermediate pleiotropy,3rd,6,2.46169248646562,Intermediate pleiotropy,4th,7
OXSM,54995,4.32992458961084,Intermediate pleiotropy,3rd,6,1.65115938612079,Intermediate pleiotropy,3rd,5
OXSR1,9943,3.80661145546113,Intermediate pleiotropy,2nd,3,0.821310848120538,Low pleiotropy,1st,2
OXT,5020,3.70114680721598,Low pleiotropy,1st,2,1.66405923223337,Intermediate pleiotropy,3rd,5
OXTR,5021,3.80106343560303,Intermediate pleiotropy,2nd,3,1.65582142959098,Intermediate pleiotropy,3rd,5
P2RX1,5023,4.28428047805535,Intermediate pleiotropy,3rd,6,1.65921995599278,Intermediate pleiotropy,3rd,5
P2RX2,22953,3.38051690078647,Low pleiotropy,1st,1,0.815965108698329,Low pleiotropy,1st,2
P2RX3,5024,7.46795067706855,High pleiotropy,5th,10,3.13175863959514,High pleiotropy,5th,9
P2RX4,5025,4.24644225330815,Intermediate pleiotropy,3rd,6,3.24899459602902,High pleiotropy,5th,9
P2RX5,5026,4.72542365817727,Intermediate pleiotropy,4th,8,2.46577588254639,Intermediate pleiotropy,4th,7
P2RX6,9127,5.07518681769663,High pleiotropy,5th,9,2.48781201928637,Intermediate pleiotropy,4th,8
P2RX7,5027,5.19152789340496,High pleiotropy,5th,9,3.28804273127279,High pleiotropy,5th,10
P2RY1,5028,3.50528389354615,Low pleiotropy,1st,2,1.58108788683309,Low pleiotropy,1st,2
P2RY11,5032,3.15221156258971,Low pleiotropy,1st,1,0.806897481097875,Low pleiotropy,1st,1
P2RY12,64805,4.26415136204732,Intermediate pleiotropy,3rd,6,2.47216037032488,Intermediate pleiotropy,4th,8
