diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1566	ACARBOSE	Oligosaccharide	Maltase-glucoamylase inhibitor		MGAM	maltase-glucoamylase	2	Completed	https://clinicaltrials.gov/study/NCT02865499,https://clinicaltrials.gov/study/NCT02953093
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor		GPD2	glycerol-3-phosphate dehydrogenase 2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		COXFA4	cytochrome c oxidase associated subunit FA4	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL389621	HYDROCORTISONE	Small molecule	Glucocorticoid receptor agonist		NR3C1	nuclear receptor subfamily 3 group C member 1	2	Completed	https://clinicaltrials.gov/study/NCT00220454
EFO_0022597	aging	CHEMBL413	SIROLIMUS	Small molecule	FK506-binding protein 1A inhibitor		FKBP1A	FKBP prolyl isomerase 1A	2	Completed	https://clinicaltrials.gov/study/NCT02874924,https://clinicaltrials.gov/study/NCT04488601
EFO_0005422	skin aging	CHEMBL1201574	ONABOTULINUMTOXINA	Unknown	Synaptosomal-associated protein 25 inhibitor	Inhibitor	SNAP25	synaptosome associated protein 25	2	Completed	https://clinicaltrials.gov/study/NCT01940991
EFO_0022597	aging	CHEMBL1042	CHOLECALCIFEROL	Small molecule	Vitamin D receptor agonist		VDR	vitamin D receptor	2	Unknown status	https://clinicaltrials.gov/study/NCT02222649
EFO_0022597	aging	CHEMBL135	ESTRADIOL	Small molecule	Estrogen receptor alpha agonist		ESR1	estrogen receptor 1	2	Completed	https://clinicaltrials.gov/study/NCT00220454
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	SRC inhibitor		FYN	FYN proto-oncogene, Src family tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	Tyrosine-protein kinase ABL inhibitor		ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	SRC inhibitor		FRK	fyn related Src family tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	Platelet-derived growth factor receptor beta inhibitor		PDGFRB	platelet derived growth factor receptor beta	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	SRC inhibitor		BLK	BLK proto-oncogene, Src family tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	SRC inhibitor		YES1	YES proto-oncogene 1, Src family tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	SRC inhibitor		SRC	SRC proto-oncogene, non-receptor tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1421	DASATINIB	Small molecule	SRC inhibitor		LYN	LYN proto-oncogene, Src family tyrosine kinase	2	Active, not recruiting	https://clinicaltrials.gov/study/NCT04946383
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA12	NADH:ubiquinone oxidoreductase subunit A12	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		COXFA4L2	cytochrome c oxidase hypoxia associated subunit FA4L2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		COXFA4	cytochrome c oxidase associated subunit FA4	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1566	ACARBOSE	Oligosaccharide	Pancreatic alpha-amylase inhibitor		AMY2A	amylase alpha 2A	2	Completed	https://clinicaltrials.gov/study/NCT02865499,https://clinicaltrials.gov/study/NCT02953093
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
EFO_0022597	aging	CHEMBL1703	METFORMIN HYDROCHLORIDE	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	2	Not yet recruiting	https://clinicaltrials.gov/study/NCT06459310
