userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	24	McCole_3d_data	6.15423921102657	1.14201056156708	7020	6	7	9	9	7.33	6733	4133	4527	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	0.00000228769897459384	4835
1	7	McCole_3d_data	3.86952080771454	1.18093099212388	10161	7	6	2	7	5	10096	992	1164	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.000348866798718878	1301
1	18	McCole_3d_data	0.902248913531486	1.04046930125483	9060	8	8	4	8	6.67	9078	2093	2182	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	0.287593463992787	3810
1	8	McCole_3d_data	0.103326858939331	0.860814110237418	11107	9	14	1	14	8	11220	46	40	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	6	McCole_3d_data	0.0364887754422465	0.938586257655583	10084	10	10	3	10	7.67	10241	1069	1019	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	20	McCole_3d_data	0.0107220527789593	0.940357964991081	8461	11	9	6	11	8.67	8667	2692	2593	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	25	McCole_3d_data	0.00102730432024598	0.912063341065102	2264	12	11	23	23	15.3	2458	8889	8802	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
1	16	McCole_3d_data	0.0000953765553396869	0.908760164156904	6612	13	12	10	13	11.7	6933	4541	4327	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	23	McCole_3d_data	0.0000672006353070376	0.871771078984803	1496	14	13	28	28	18.3	1699	9657	9561	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	22	McCole_3d_data	0.0000000206419191154498	0.854728133370225	7755	15	15	8	15	12.7	8192	3398	3068	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
1	17	McCole_3d_data	3.42880227885653e-10	0.80815682224508	1758	16	19	27	27	20.7	2117	9395	9143	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	14	McCole_3d_data	2.88981940653102e-10	0.847257610823882	6580	17	16	12	17	15	7087	4573	4173	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	15	McCole_3d_data	2.37933337466543e-11	0.808371123109521	2109	18	18	25	25	20.3	2521	9044	8739	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1	6161
1	12	McCole_3d_data	7.65864052306041e-12	0.837924035960023	5569	19	17	16	19	17.3	6119	5584	5141	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	10	McCole_3d_data	0	0.706921701481046	8889	20	28	5	28	17.7	9542	2264	1718	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
1	9	McCole_3d_data	0	0.757663384927411	5555	20	22	17	22	19.7	6385	5598	4875	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	1	18331
1	11	McCole_3d_data	0	0.763085860255337	2959	20	21	20	21	20.3	3617	8194	7643	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	21	McCole_3d_data	0	0.766762902726021	2568	20	20	22	22	20.7	3160	8585	8100	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1	8436
1	19	McCole_3d_data	0	0.720944998734549	2801	20	25	21	25	22	3575	8352	7685	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1	11459
1	13	McCole_3d_data	0	0.738159861573293	2163	20	24	24	24	22.7	2768	8990	8492	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1	8202
2	10	McCole_3d_data	19.281073248078	1.37507435735911	10271	4	4	4	4	4	8160	1903	2079	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	3.60641692048163e-19	4533
2	19	McCole_3d_data	14.0323799617763	1.25740825658448	3721	5	5	20	20	10	2655	8453	7584	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	5.75455476771793e-14	11459
2	9	McCole_3d_data	11.1261119122513	1.19931439667835	6737	9	11	17	17	12.3	5203	5437	5036	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	3.31246838206918e-11	18331
2	13	McCole_3d_data	10.9446976579807	1.24368014725055	2885	10	8	23	23	13.7	2046	9289	8193	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	4.6946451635435e-11	8202
2	21	McCole_3d_data	8.15205099740022	1.19175886458561	3296	11	12	21	21	14.7	2432	8878	7807	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	0.0000000273036500798118	8436
2	11	McCole_3d_data	7.43994882262682	1.17281435604212	3755	12	13	19	19	14.7	2821	8419	7418	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	0.000000132432307265524	12903
2	12	McCole_3d_data	6.89233266221142	1.14877422850032	6541	13	14	18	18	15	5147	5633	5092	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	0.000000441353446367809	3567
2	14	McCole_3d_data	5.88648163474541	1.13827004491241	7595	14	16	13	16	14.3	6072	4579	4167	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	0.00000402605829645827	3385
2	22	McCole_3d_data	4.04564672099599	1.11757843359123	8789	15	18	8	18	13.7	7158	3385	3081	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	0.000264596124674809	3269
2	15	McCole_3d_data	4.02738552953761	1.13267733178931	2628	16	17	24	24	19	2002	9546	8237	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	0.000264596124674809	6161
2	17	McCole_3d_data	3.99937390088376	1.14215465956143	2210	17	15	26	26	19.3	1665	9964	8574	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	0.000269954115400635	5020
2	16	McCole_3d_data	2.11149431950036	1.06901777138112	7446	18	19	14	19	17	6099	4728	4140	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	0.0191848037660222	3481
2	20	McCole_3d_data	1.03803127684773	1.04344575004022	9346	19	21	7	21	15.7	7782	2828	2457	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	0.218467613563981	3167
2	23	McCole_3d_data	0.878390072224689	1.04455341176415	1765	20	20	27	27	22.3	1430	10409	8809	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	0.292983785446724	4279
2	8	McCole_3d_data	0.743858677656387	1.24664400507169	12132	21	7	1	21	9.67	10195	42	44	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	0.385598214228262	293
2	25	McCole_3d_data	0.332377121056636	1.00342920471502	2568	22	22	25	25	23	2154	9606	8085	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	0.961376083268892	7435
2	6	McCole_3d_data	0.264981216193211	0.996032698452264	11038	23	23	2	23	16	9287	1136	952	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
2	18	McCole_3d_data	0.0404693536006207	0.955560185767194	9813	24	24	5	24	17.7	8325	2361	1914	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
2	24	McCole_3d_data	2.27480741920678e-09	0.854320879353354	7263	25	25	15	25	21.7	6490	4911	3749	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1	4835
2	7	McCole_3d_data	1.28741979303087e-09	0.7663705314405	10876	26	26	3	26	18.3	9381	1298	858	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	1	1301
