userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	4	ATAC_peaks	0.000000188084742820795	0.742192296885443	767	13	11	12	13	12	1377	1026	1367	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	3	ATAC_peaks	4.634660989767e-10	0.695505545655543	766	17	12	14	17	14.3	1420	1027	1324	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1	68236
1	5	ATAC_peaks	3.71739945299178e-10	0.682843990698041	1087	18	13	8	18	13	1901	706	843	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	2	ATAC_peaks	1.18168687751601e-12	0.65802519745734	759	21	15	15	21	17	1447	1034	1297	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1	48574
1	1	ATAC_peaks	6.34816771232493e-13	0.654641477977039	767	23	16	12	23	17	1463	1026	1281	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
2	2	ATAC_peaks	8.76288644820815	1.44289359240096	1487	12	17	13	17	14	719	1373	958	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	7.78909369251131e-09	48574
2	1	ATAC_peaks	8.73568980660906	1.44165762915719	1502	13	18	12	18	14.3	728	1358	949	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	7.78909369251131e-09	85631
2	3	ATAC_peaks	6.7332256048884	1.37118307122401	1461	15	20	14	20	16.3	725	1399	952	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	0.000000716219435500594	68236
2	5	ATAC_peaks	6.62822421757173	1.38615489850532	1962	16	19	7	19	14	1026	898	651	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	0.000000858457008422378	127090
2	4	ATAC_peaks	4.85959178932442	1.29793060376867	1420	21	22	16	22	19.7	724	1440	953	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	0.0000372453503771808	47203
