userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	31	subcompartment	43.1712749149027	5.99823124001678	231	1	1	23	23	8.33	66	1562	2678	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	4.17942729419763e-42	25
1	7	McCole_3d_data	5.07998914304484	1.64903744197324	1683	2	2	2	2	2	2477	110	267	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.0000234412013681864	1301
1	28	subcompartment	4.44626520081581	1.3505562738146	414	3	4	19	19	8.67	499	1379	2245	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	0.0000887537026286314	896
1	29	subcompartment	4.36628562504533	1.51986200907926	196	4	3	25	25	10.7	205	1597	2539	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	0.000102596540413788	504
1	30	subcompartment	0.0621821663477672	0.8907143532419	144	5	5	28	28	12.7	245	1649	2499	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	1	685
1	20	McCole_3d_data	0.0115589611680182	0.876202524859626	1310	6	6	4	6	5.33	2074	483	670	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	8	McCole_3d_data	0.00299154178347566	0.420561329014759	1776	7	31	1	31	13	2733	17	11	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	14	McCole_3d_data	0.000971158563148321	0.841264164800159	998	8	7	10	10	8.33	1643	795	1101	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	16	McCole_3d_data	0.0000484437417009327	0.797452117316539	1017	9	8	9	9	8.67	1706	776	1038	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	6	McCole_3d_data	0.00000870670321029064	0.674545328732282	1561	10	14	3	14	9	2494	232	250	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	22	McCole_3d_data	0.0000015936617681183	0.752789769550991	1114	11	9	7	11	9	1881	679	863	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
1	24	McCole_3d_data	0.000000751508949005223	0.752419479706308	992	12	10	11	12	11	1707	801	1037	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1	4835
1	4	ATAC_peaks	0.000000188084742820795	0.742192296885443	767	13	11	12	13	12	1377	1026	1367	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	23	McCole_3d_data	0.0000000846571499928977	0.560812768202031	105	14	24	31	31	23	274	1688	2470	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	11	McCole_3d_data	2.96721180583242e-09	0.640486561836681	273	15	17	20	20	17.3	601	1520	2143	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	27	subcompartment	7.39140947689761e-10	0.622860994878503	256	16	18	21	21	18.3	579	1537	2165	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	1	1249
1	3	ATAC_peaks	4.634660989767e-10	0.695505545655543	766	17	12	14	17	14.3	1420	1027	1324	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1	68236
1	5	ATAC_peaks	3.71739945299178e-10	0.682843990698041	1087	18	13	8	18	13	1901	706	843	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	21	McCole_3d_data	2.9137877648485e-11	0.591886670958407	239	19	21	22	22	20.7	566	1554	2178	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1	8436
1	18	McCole_3d_data	1.48583576046785e-12	0.612435295783268	1295	20	19	5	20	14.7	2221	498	523	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
1	2	ATAC_peaks	1.18168687751601e-12	0.65802519745734	759	21	15	15	21	17	1447	1034	1297	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1	48574
1	13	McCole_3d_data	6.83659957413491e-13	0.536189697296474	183	22	26	26	26	24.7	480	1610	2264	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1	8202
1	1	ATAC_peaks	6.34816771232493e-13	0.654641477977039	767	23	16	12	23	17	1463	1026	1281	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
1	17	McCole_3d_data	1.29798476998092e-13	0.490143181585213	138	24	28	30	30	27.3	399	1655	2345	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	15	McCole_3d_data	4.96628645274971e-14	0.488300365443264	142	25	29	29	29	27.7	411	1651	2333	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1	6161
1	25	McCole_3d_data	3.27871338628119e-15	0.476192103662425	145	26	30	27	30	27.7	428	1648	2316	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
1	19	McCole_3d_data	9.64327466553287e-17	0.5007666384145	204	27	27	24	27	26	560	1589	2184	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1	11459
1	9	McCole_3d_data	4.82163733276644e-17	0.596488785551482	557	28	20	18	28	22	1181	1236	1563	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	1	18331
1	10	McCole_3d_data	0	0.553647083076453	1215	29	25	6	29	20	2172	578	572	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
1	12	McCole_3d_data	0	0.564435789354923	662	29	22	16	29	22.3	1397	1131	1347	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	26	subcompartment	0	0.562422447629398	591	29	23	17	29	23	1280	1202	1464	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	1	490
