"Characteristic","Total","1st","5th","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4447 (2585 - 7068)","3457 (1969 - 5513)","5656 (3462 - 8606)","< 0.001","ε² = 0.11","< 0.001","0.38 (0.36 to 0.40)"
"LOEUF_class: Intolerant, n (%)","1,262 (19.5%)","347 (10.9%)","915 (27.9%)","< 0.001","V = 0.21","< 0.001","3.17 (2.76 to 3.64)"
"ifhsd2: Duplicates, n (%)","1,108 (15.8%)","840 (23.9%)","268 (7.6%)","< 0.001","V = 0.22","< 0.001","0.26 (0.23 to 0.30)"
"GES_class: Essentialty, n (%)","314 (4.9%)","161 (5.1%)","153 (4.7%)","0.460","V = 0.00","0.487","0.92 (0.73 to 1.16)"
"ifspecific: Specific, n (%)","1,699 (26.0%)","982 (31.6%)","717 (20.9%)","< 0.001","V = 0.12","< 0.001","0.57 (0.51 to 0.64)"
