"Characteristic","Total","1st","5th","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4142 (2413 - 6692)","3565 (1975 - 5932)","4994 (3049 - 7547)","< 0.001","ε² = 0.05","< 0.001","0.25 (0.23 to 0.28)"
"LOEUF_class: Intolerant, n (%)","1,253 (18.2%)","398 (10.4%)","855 (27.8%)","< 0.001","V = 0.22","< 0.001","3.31 (2.90 to 3.78)"
"ifhsd2: Duplicates, n (%)","1,370 (18.2%)","1,093 (25.9%)","277 (8.4%)","< 0.001","V = 0.23","< 0.001","0.26 (0.23 to 0.30)"
"GES_class: Essentialty, n (%)","340 (5.0%)","169 (4.5%)","171 (5.6%)","0.033","V = 0.02","0.034","1.27 (1.01 to 1.59)"
"ifspecific: Specific, n (%)","1,817 (26.4%)","1,282 (34.9%)","535 (16.7%)","< 0.001","V = 0.21","< 0.001","0.37 (0.33 to 0.42)"
