"Characteristic","Total","1st","5th","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4328 (2474 - 6852)","3546 (1956 - 5870)","5140 (3098 - 7756)","< 0.001","ε² = 0.06","< 0.001","0.28 (0.25 to 0.30)"
"LOEUF_class: Intolerant, n (%)","1,196 (19.4%)","312 (10.2%)","884 (28.2%)","< 0.001","V = 0.23","< 0.001","3.44 (2.99 to 3.98)"
"ifhsd2: Duplicates, n (%)","1,138 (16.9%)","875 (26.0%)","263 (7.8%)","< 0.001","V = 0.24","< 0.001","0.24 (0.21 to 0.28)"
"GES_class: Essentialty, n (%)","298 (4.9%)","132 (4.4%)","166 (5.4%)","0.071","V = 0.02","0.075","1.24 (0.98 to 1.58)"
"ifspecific: Specific, n (%)","1,597 (25.7%)","1,027 (34.9%)","570 (17.5%)","< 0.001","V = 0.20","< 0.001","0.40 (0.35 to 0.45)"
