"Characteristic","Total","1st","5th","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4218 (2424 - 6660)","3642 (2004 - 6078)","4724 (2861 - 7128)","< 0.001","ε² = 0.03","< 0.001","0.19 (0.17 to 0.22)"
"LOEUF_class: Intolerant, n (%)","1,162 (17.6%)","340 (10.5%)","822 (24.5%)","< 0.001","V = 0.18","< 0.001","2.77 (2.41 to 3.18)"
"ifhsd2: Duplicates, n (%)","1,227 (17.1%)","912 (25.4%)","315 (8.8%)","< 0.001","V = 0.22","< 0.001","0.28 (0.25 to 0.32)"
"GES_class: Essentialty, n (%)","335 (5.1%)","127 (4.0%)","208 (6.3%)","< 0.001","V = 0.05","< 0.001","1.62 (1.29 to 2.05)"
"ifspecific: Specific, n (%)","1,744 (26.4%)","1,119 (35.8%)","625 (18.0%)","< 0.001","V = 0.20","< 0.001","0.39 (0.35 to 0.44)"
