"Characteristic","Total","1st","5th","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4334 (2514 - 6838)","3536 (2038 - 5723)","5228 (3206 - 7863)","< 0.001","ε² = 0.07","< 0.001","0.30 (0.28 to 0.33)"
"LOEUF_class: Intolerant, n (%)","1,254 (19.8%)","310 (10.0%)","944 (29.3%)","< 0.001","V = 0.24","< 0.001","3.76 (3.26 to 4.33)"
"ifhsd2: Duplicates, n (%)","1,143 (16.6%)","837 (24.3%)","306 (8.9%)","< 0.001","V = 0.21","< 0.001","0.30 (0.26 to 0.35)"
"GES_class: Essentialty, n (%)","329 (5.3%)","155 (5.0%)","174 (5.5%)","0.431","V = 0.00","0.462","1.09 (0.87 to 1.38)"
"ifspecific: Specific, n (%)","1,640 (25.6%)","1,011 (33.3%)","629 (18.7%)","< 0.001","V = 0.17","< 0.001","0.46 (0.41 to 0.52)"
