"Characteristic","Total","1st","5th","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4160 (2412 - 6660)","3488 (1874 - 5852)","4835 (3014 - 7420)","< 0.001","ε² = 0.05","< 0.001","0.25 (0.23 to 0.28)"
"LOEUF_class: Intolerant, n (%)","1,240 (18.8%)","332 (10.2%)","908 (27.3%)","< 0.001","V = 0.22","< 0.001","3.32 (2.89 to 3.81)"
"ifhsd2: Duplicates, n (%)","1,281 (17.8%)","986 (27.4%)","295 (8.2%)","< 0.001","V = 0.25","< 0.001","0.24 (0.20 to 0.27)"
"GES_class: Essentialty, n (%)","341 (5.2%)","148 (4.6%)","193 (5.9%)","0.022","V = 0.03","0.023","1.29 (1.03 to 1.62)"
"ifspecific: Specific, n (%)","1,741 (26.4%)","1,109 (35.7%)","632 (18.1%)","< 0.001","V = 0.20","< 0.001","0.40 (0.36 to 0.45)"
