userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	16	McCole_3d_data	2.7293597685898	1.13681205620977	2813	19	21	15	21	18.3	2206	1899	1693	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	0.00444691238564502	3481
2	23	McCole_3d_data	2.49276763251404	1.19489512597504	659	20	19	27	27	22	467	4053	3432	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	0.00738346622917621	4279
2	6	McCole_3d_data	1.78115743539605	1.16744126384603	4264	21	20	2	21	14.3	3473	448	426	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	0.0366501893527475	1194
2	20	McCole_3d_data	1.23982001929718	1.0838753644144	3593	22	22	7	22	17	2915	1119	984	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	0.123076084783796	3167
1	18	McCole_3d_data	0.946573347476887	1.06770442843356	3130	8	8	4	8	6.67	3651	815	1015	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	0.233720650993629	3810
2	25	McCole_3d_data	0.6787008102367	1.04772619541684	890	23	23	25	25	23.7	709	3822	3190	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	0.419111121534802	7435
1	25	McCole_3d_data	0.106345348540337	0.958868705560015	719	9	9	24	24	14	880	3226	3786	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
2	18	McCole_3d_data	0.0418538986580294	0.933299372687253	3686	24	24	6	24	18	3095	1026	804	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
1	20	McCole_3d_data	0.017236282347148	0.916314627023918	2947	10	10	5	10	8.33	3561	998	1105	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	6	McCole_3d_data	0.00140150594987503	0.82531404071095	3507	11	13	3	13	9	4230	438	436	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	16	McCole_3d_data	0.000729433145949628	0.880175307327712	2233	12	11	11	12	11.3	2786	1712	1880	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	23	McCole_3d_data	0.000624944105614319	0.826787189382894	470	13	12	29	29	18	656	3475	4010	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
2	7	McCole_3d_data	9.36682688303234e-06	0.734201470566677	4230	25	26	3	26	18	3598	482	301	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	1	1301
1	8	McCole_3d_data	2.36835070450328e-06	0.236337834018936	3913	14	30	1	30	15	4657	32	9	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	17	McCole_3d_data	2.89140434344188e-07	0.749517769437755	538	15	17	27	27	19.7	812	3407	3854	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	11	McCole_3d_data	1.54087649445687e-08	0.770815227931571	985	16	16	20	20	17.3	1407	2960	3259	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	12	McCole_3d_data	5.40695993400316e-09	0.786335798409155	1838	17	14	16	17	15.7	2454	2107	2212	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
