gene,pn_ld_corrected,pn_ld_class5_corrected,pm_ld_corrected,pm_ld_class5_corrected,pn_ld_mafbin1,pn_ld_class5_mafbin1,pm_ld_mafbin1,pm_ld_class5_mafbin1,pn_ld_mafbin2,pn_ld_class5_mafbin2,pm_ld_mafbin2,pm_ld_class5_mafbin2,pn_ld_mafbin3,pn_ld_class5_mafbin3,pm_ld_mafbin3,pm_ld_class5_mafbin3,pn_ld_pnadjust,pn_ld_class5_pnadjust,pm_ld_pnadjust,pm_ld_class5_pnadjust,pn_ld_polygenicity,pn_ld_class5_polygenicity,pm_ld_polygenicity,pm_ld_class5_polygenicity,pn_ld_traitcut,pn_ld_class5_traitcut,pm_ld_traitcut,pm_ld_class5_traitcut,pn_ld_repro,pn_ld_class5_repro,pm_ld_repro,pm_ld_class5_repro,pn_ld_raw,pn_ld_class5_raw,pm_ld_raw,pm_ld_class5_raw,gene_age_num
OSBP2,65.2892437496815,5th,19.1708352602945,4th,7.91272740885783,4th,5.74878710898203,4th,11.2516683659722,5th,6.20570917562729,4th,10.6646342728469,4th,6.35573079169104,4th,0.979971661492326,4th,6.4839602253565,4th,8.87096774193548,5th,5.4809668124483,3rd,16.1584701712944,4th,10.7744628397005,3rd,32.108970593804,5th,65.277706017555,5th,11.2516683659722,4th,6.35573079169104,4th,680
OSBPL10,60.0541072801029,5th,20.8767567475241,5th,7.9659100788903,4th,5.90948758688421,5th,9.75660108734477,4th,5.90788093817396,3rd,8.43410266499206,2nd,5.97329785847185,3rd,1.02359795360003,4th,6.03414634230966,2nd,6.45161290322581,3rd,5.25344340525391,2nd,13.0725994011903,3rd,9.99311414276147,2nd,21.8728284897615,3rd,35.7638860918919,2nd,9.75660108734477,3rd,5.90788093817396,2nd,1488
OSBPL11,55.5392722264701,4th,18.9672280074598,4th,6.81311672569089,3rd,5.57215495534793,3rd,9.33849877612028,4th,6.0553112570092,3rd,9.13559621136699,3rd,6.0532375002552,3rd,0.682991060326263,3rd,6.2057198024191,3rd,6.45161290322581,3rd,5.35774980581543,3rd,8.32217754403494,1st,10.1637036425911,3rd,31.2239961620775,5th,40.7405541210523,3rd,9.33849877612028,3rd,6.0553112570092,3rd,680
OSBPL1A,53.4961540641799,4th,12.9123310864064,2nd,8.30356599012393,5th,5.88012127736063,5th,8.19245730908508,3rd,5.72966011289685,2nd,8.3725491353875,2nd,5.49887003730526,1st,0.508555802426286,2nd,5.94363038156885,2nd,5.91397849462366,2nd,5.1921213390659,2nd,10.5060573267418,1st,9.87443832612723,2nd,21.853377083545,3rd,34.7836476221234,2nd,8.3725491353875,2nd,5.88012127736063,2nd,680
OSBPL2,39.1005005376979,3rd,12.7835625810913,2nd,8.1135302774412,5th,5.85852250099597,4th,9.75498726293462,4th,6.5823622073643,5th,11.5237764333306,5th,6.82845643054737,4th,1.76344639236451,5th,6.98494105672753,4th,8.06451612903226,4th,5.58790130811157,4th,20.2591998671076,5th,12.6242190710028,5th,16.2360245825758,2nd,40.31312815391,3rd,11.5237764333306,5th,6.82845643054737,4th,1488
OSBPL3,81.972291076594,5th,22.8154235701581,5th,6.83415229323807,3rd,5.91372527645059,5th,9.66826271826469,4th,6.33027149436989,4th,8.52250204492011,3rd,5.84891190482618,2nd,0.517880483497773,2nd,6.05328227041789,2nd,7.25806451612903,4th,5.26594854911291,2nd,13.0267528259726,3rd,10.142191866921,3rd,21.4408200734862,3rd,38.1587948314117,3rd,6.83415229323807,1st,5.91372527645059,2nd,680
OSBPL5,23.3472667328632,1st,9.80540847637197,1st,5.85001690952576,2nd,5.53693827921093,2nd,9.22919246050805,4th,5.96406746719714,3rd,8.83592561050257,3rd,5.95153610758367,2nd,0.504618824442428,2nd,5.81197453828691,1st,5.91397849462366,2nd,5.09743723747287,1st,13.432226667848,3rd,9.9430408176602,2nd,21.8182182364677,3rd,41.6022341891598,3rd,9.22919246050805,3rd,5.96406746719714,2nd,454
OSBPL6,75.9536177925367,5th,20.1428135217192,4th,7.41761032283742,4th,5.63988210251377,3rd,7.99675502137238,2nd,6.07320355833207,3rd,9.88591829910807,4th,6.23386562315255,3rd,1.25992719979883,4th,6.35357934442885,3rd,6.72043010752688,3rd,5.43093139336322,3rd,14.4474045817304,4th,10.8225224161285,3rd,31.8117234132967,5th,61.2485137547427,5th,9.88591829910807,3rd,6.23386562315255,3rd,680
OSBPL7,31.0319778535178,2nd,11.2030633879919,2nd,,,,,10.701147993748,5th,6.78499014605871,5th,9.86688209208525,4th,6.95715377436555,5th,1.98832664622499,5th,7.18978197733452,5th,6.98924731182796,4th,5.61356142506906,5th,11.5070322922048,2nd,13.1708009325223,5th,32.31228512626,5th,80.667641455651,5th,10.701147993748,4th,6.95715377436555,4th,454
OSBPL8,21.0526895463161,1st,9.13984954838416,1st,5.28514633659801,1st,4.97574735292578,1st,7.22476888827251,2nd,5.73584003392072,2nd,8.13981601318781,2nd,5.6497639506223,1st,0.320600607506545,1st,5.80150921051141,1st,5.10752688172043,1st,5.08969199944848,1st,12.8764207006331,3rd,9.49646959005217,2nd,26.5359431999212,4th,33.6045981737805,2nd,8.13981601318781,2nd,5.73584003392072,1st,1488
OSBPL9,68.1814676399143,5th,29.2902420039032,5th,8.75754325807743,5th,6.24981801311482,5th,10.0643091973239,4th,6.11037441931116,3rd,8.04461880049589,2nd,6.1292934311969,3rd,0.407620444526506,2nd,6.41111320840413,3rd,6.72043010752688,3rd,5.45465053610359,3rd,13.3964910437918,3rd,10.6993105868217,3rd,26.8232710239397,4th,54.3518166542384,4th,10.0643091973239,4th,6.24981801311482,3rd,1488
OSCAR,61.0853027580063,5th,25.031903414165,5th,6.92770333799917,3rd,5.50906822784922,2nd,4.72971649901843,1st,5.59290369231211,1st,5.45857043480394,1st,5.50379468014251,1st,0.256113744028011,1st,5.69404479162973,1st,4.3010752688172,1st,5.00856363249812,1st,7.56735175042205,1st,8.80708255199927,1st,10.7959940269944,1st,31.3767579955227,1st,6.92770333799917,1st,5.59290369231211,1st,382
OSCP1,50.1322051933689,4th,16.3719135540711,4th,6.90402890353588,3rd,5.6022498510389,3rd,7.07654557415376,1st,5.77149686300733,2nd,9.83130814229291,4th,6.79049356857659,4th,1.00639241304231,4th,6.91498368169368,4th,6.45161290322581,3rd,5.57761227487315,4th,14.6138924841167,4th,12.1636542009509,4th,15.9153023089465,2nd,31.7449440401546,1st,9.83130814229291,3rd,6.79049356857659,4th,987
OSER1,52.3812370310454,4th,18.3668267055923,4th,4.95881989923093,1st,5.392241450798,1st,9.95680414544382,4th,6.76699038766822,5th,12.6537292790574,5th,7.09037554685968,5th,1.53997642871368,5th,7.25756012698036,5th,8.60215053763441,5th,5.6209841444756,5th,17.1522609020867,5th,12.749758261124,5th,27.1612392069524,4th,38.2645986158543,3rd,12.6537292790574,5th,7.09037554685968,5th,645
OSGEP,39.3867513938718,3rd,14.1854661148675,3rd,5.28646245915502,1st,5.55138770672647,2nd,6.38014525626276,1st,5.53206802936932,1st,7.37010010741731,2nd,5.6906056498119,1st,0.511834973717952,2nd,5.84882763969381,1st,5.64516129032258,2nd,5.12448692578851,1st,8.87669258308221,1st,9.20753588715763,1st,27.5902675128727,4th,48.4276667142882,4th,7.37010010741731,1st,5.6906056498119,1st,4290
OSGEPL1,55.6150443502542,4th,19.1629496306241,4th,7.12200239947843,3rd,5.65614083704378,3rd,8.10204313327449,2nd,5.80816691526367,2nd,6.04951321132788,1st,5.61244921373568,1st,0.370389769208716,2nd,5.92472343602415,1st,5.10752688172043,1st,5.17886589770328,1st,8.41356862963999,1st,9.10178838938883,1st,14.9352548259281,1st,36.6316578773896,2nd,8.10204313327449,2nd,5.80816691526367,2nd,1488
OSGIN1,35.9382320384038,2nd,12.3747711033626,2nd,7.11374841260457,3rd,5.56923298396024,3rd,8.66277605529504,3rd,5.94272628356238,3rd,7.1953058570833,1st,5.87398109154688,2nd,0.477397264745423,2nd,6.04579823876075,2nd,5.91397849462366,2nd,5.2610759365301,2nd,11.9248270522766,2nd,10.2688993399426,3rd,27.110103955986,4th,64.8954863035785,5th,8.66277605529504,2nd,5.94272628356238,2nd,645
OSGIN2,53.6183561784362,4th,18.0021198787483,4th,5.3602738456799,1st,5.48964709123854,2nd,6.28706979690101,1st,5.61463101565399,1st,7.41647098213211,2nd,5.60915365800795,1st,0.620992533032869,3rd,5.73344353305642,1st,4.83870967741936,1st,5.03860888551477,1st,10.0008747826407,1st,9.35903864230201,1st,14.6435160082431,1st,32.0657976428768,1st,7.41647098213211,1st,5.61463101565399,1st,645
OSM,51.7477210184164,4th,18.6301798965824,4th,6.46025022282487,3rd,5.6951580940592,3rd,11.659353779916,5th,6.92550767291364,5th,10.2821426617135,4th,6.68412182302691,4th,2.07708222504144,5th,7.0625638306959,4th,7.79569892473118,4th,5.59829938896217,4th,15.7696644354121,4th,12.2407194439313,4th,16.2461591094873,2nd,32.8749697112921,2nd,11.659353779916,5th,6.92550767291364,4th,132
OSMR,43.7190506123675,3rd,14.5927829163894,3rd,7.58405650134426,4th,5.68267298619433,3rd,9.35562382798965,4th,6.37568803954794,4th,9.36095595086776,3rd,6.45855621869984,4th,1.76679755749205,5th,6.55451352808579,4th,6.18279569892473,3rd,5.50279123999658,4th,14.6182307232746,4th,11.6883166751249,4th,26.4413327650382,4th,45.5145848638762,4th,9.36095595086776,3rd,6.45855621869984,4th,454
OSR1,44.4740279622773,3rd,14.2561017851022,3rd,6.49989235859518,3rd,5.59511620823156,3rd,8.56084937307397,3rd,6.06588939245741,3rd,7.6245061001669,2nd,6.13157187625128,3rd,0.934635269228311,4th,6.30938578169785,3rd,5.37634408602151,2nd,5.41088929799315,3rd,11.3755533418459,2nd,10.4884287169303,3rd,26.5678960076995,4th,63.0280912404476,5th,8.56084937307397,2nd,6.13157187625128,3rd,645
OSR2,38.5390399550717,2nd,13.5879171479265,3rd,6.11298084169459,2nd,5.59602945498235,3rd,6.89469658680468,1st,5.50561893215746,1st,,,,,0.462630638655166,2nd,5.6752373532424,1st,4.03225806451613,1st,4.99410726561661,1st,9.6965380890012,1st,9.46635357688375,2nd,,,,,6.89469658680468,1st,5.59602945498235,1st,645
