Characteristic,Total,TRUE,FALSE,Overall_P,Omnibus_effect,Low_vs_high_P,Low_vs_high_effect
"Gene length (bp), median (IQR)",4514 (2692 - 7044),4723 (2818 - 7252),3954 (2338 - 6388),< 0.001,ε² = 0.01,< 0.001,0.13 (0.11 to 0.15)
"LOEUF_class: Intolerant, n (%)","3,023 (18.2%)","2,609 (19.9%)",414 (11.9%),< 0.001,V = 0.08,< 0.001,1.85 (1.65 to 2.07)
"GES_class: Essentialty, n (%)",791 (4.8%),442 (3.4%),349 (10.5%),< 0.001,V = 0.13,< 0.001,0.30 (0.26 to 0.35)
"ifspecific: Specific, n (%)","4,479 (26.5%)","3,541 (28.1%)",938 (22.0%),< 0.001,V = 0.06,< 0.001,1.38 (1.27 to 1.50)
