Characteristic,Total,TRUE,FALSE,Overall_P,Omnibus_effect,Low_vs_high_P,Low_vs_high_effect
"Gene length (bp), median (IQR)",4514 (2692 - 7044),2483 (1355 - 5037),4530 (2703 - 7055),< 0.001,ε² = 0.00,< 0.001,-0.37 (-0.45 to -0.28)
"LOEUF_class: Intolerant, n (%)","3,023 (18.2%)",9 (7.6%),"3,014 (18.3%)",0.002,V = 0.02,0.002,0.37 (0.16 to 0.72)
"GES_class: Essentialty, n (%)",791 (4.8%),0 (0.0%),791 (4.8%),0.054,V = 0.01,0.051,0.00 (0.00 to 1.02)
"ifspecific: Specific, n (%)","4,479 (26.5%)",55 (56.1%),"4,424 (26.4%)",< 0.001,V = 0.05,< 0.001,3.57 (2.35 to 5.46)
